"AGE_GROUP_ARAB","AGE_GROUP_ENGL","NATIONALITY_ARAB","NATIONALITY_ENGL","OBSVALUE_OBSV","SEX_ARAB","SEX_ENGL","YEAR_TIME"
"10-19","10-19","سعودي"," Saudi ","16308","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","4845","ذكر","Male","1440"
"0-9","0-9","غير سعودي","Non Saudi","14287","أنثى","Female","1440"
"0-9","0-9","غير سعودي","Non Saudi","5167","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","1763","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","5260","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","9717","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","39085","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","535","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","4145","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","3979","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","659","أنثى","Female","1441"
"50-59","50-59","غير سعودي","Non Saudi","1403","ذكر","Male","1441"
"10-19","10-19","غير سعودي","Non Saudi","237","ذكر","Male","1441"
"0-9","0-9","سعودي"," Saudi ","3049","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","18632","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","108367","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","2575","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","11565","ذكر","Male","1440"
"70+","70+","سعودي"," Saudi ","414","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","7610","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","1223","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","1365","أنثى","Female","1440"
"10-19","10-19","غير سعودي","Non Saudi","157","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","1332","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","209","ذكر","Male","1441"
"10-19","10-19","غير سعودي","Non Saudi","1021","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","857","ذكر","Male","1441"
"60-69","60-69","سعودي"," Saudi ","1383","ذكر","Male","1441"
"40-49","40-49","سعودي"," Saudi ","7033","ذكر","Male","1440"
"60-69","60-69","غير سعودي","Non Saudi","14526","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","5486","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","3515","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","96","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","3386","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","5944","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","927","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","45982","ذكر","Male","1441"
"40-49","40-49","سعودي"," Saudi ","10742","أنثى","Female","1439"
"70+","70+","غير سعودي","Non Saudi","5680","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","775","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","1702","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","1043","ذكر","Male","1441"
"60-69","60-69","غير سعودي","Non Saudi","2305","ذكر","Male","1441"
"50-59","50-59","غير سعودي","Non Saudi","89","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","176","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","122","أنثى","Female","1441"
"50-59","50-59","سعودي"," Saudi ","291","ذكر","Male","1441"
"20-29","20-29","سعودي"," Saudi ","10027","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","9626","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","201944","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","8752","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","8177","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","515","أنثى","Female","1441"
"40-49","40-49","سعودي"," Saudi ","194","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","21244","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","4131","ذكر","Male","1441"
"30-39","30-39","سعودي"," Saudi ","3041","أنثى","Female","1441"
"40-49","40-49","سعودي"," Saudi ","214","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","619","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","2900","أنثى","Female","1441"
"50-59","50-59","سعودي"," Saudi ","2863","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","3433","أنثى","Female","1439"
"10-19","10-19","غير سعودي","Non Saudi","1877","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","1758","ذكر","Male","1441"
"40-49","40-49","غير سعودي","Non Saudi","720","ذكر","Male","1441"
"30-39","30-39","سعودي"," Saudi ","403","أنثى","Female","1441"
"10-19","10-19","غير سعودي","Non Saudi","94","أنثى","Female","1441"
"60-69","60-69","غير سعودي","Non Saudi","1158","أنثى","Female","1440"
"0-9","0-9","غير سعودي","Non Saudi","665","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","30557","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","524980","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","51449","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","4996","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","1108","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","1867","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","3306","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","893","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","447","أنثى","Female","1440"
"40-49","40-49","غير سعودي","Non Saudi","245","أنثى","Female","1441"
"60-69","60-69","سعودي"," Saudi ","6611","ذكر","Male","1440"
"70+","70+","سعودي"," Saudi ","2191","ذكر","Male","1441"
"60-69","60-69","سعودي"," Saudi ","3641","ذكر","Male","1441"
"20-29","20-29","غير سعودي","Non Saudi","14109","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","1519","ذكر","Male","1440"
"10-19","10-19","غير سعودي","Non Saudi","6023","ذكر","Male","1441"
"40-49","40-49","غير سعودي","Non Saudi","1054","أنثى","Female","1441"
"10-19","10-19","غير سعودي","Non Saudi","1027","ذكر","Male","1440"
"10-19","10-19","غير سعودي","Non Saudi","954","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","1118","أنثى","Female","1441"
"10-19","10-19","غير سعودي","Non Saudi","466","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","2404","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","4478","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","2718","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","24760","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","276272","ذكر","Male","1439"
"30-39","30-39","سعودي"," Saudi ","406","ذكر","Male","1441"
"30-39","30-39","سعودي"," Saudi ","4118","أنثى","Female","1439"
"10-19","10-19","سعودي"," Saudi ","3874","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","19151","ذكر","Male","1439"
"40-49","40-49","سعودي"," Saudi ","10558","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","28416","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","1978","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","14432","ذكر","Male","1440"
"70+","70+","سعودي"," Saudi ","214","ذكر","Male","1439"
"60-69","60-69","غير سعودي","Non Saudi","210","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","1243","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","774","أنثى","Female","1440"
"70+","70+","غير سعودي","Non Saudi","1044","ذكر","Male","1440"
"20-29","20-29","سعودي"," Saudi ","42982","أنثى","Female","1439"
"70+","70+","سعودي"," Saudi ","565","أنثى","Female","1441"
"0-9","0-9","سعودي"," Saudi ","5270","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","5920","أنثى","Female","1439"
"50-59","50-59","غير سعودي","Non Saudi","876","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","12962","ذكر","Male","1441"
"10-19","10-19","غير سعودي","Non Saudi","20295","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","19504","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","1845","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","4321","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","1298","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","1726","ذكر","Male","1439"
"60-69","60-69","غير سعودي","Non Saudi","925","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","159","ذكر","Male","1441"
"10-19","10-19","غير سعودي","Non Saudi","194","أنثى","Female","1439"
"60-69","60-69","غير سعودي","Non Saudi","1047","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","1513","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","3699","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","649","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","1655","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","173193","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","83463","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","5281","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","6227","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","3060","ذكر","Male","1441"
"20-29","20-29","سعودي"," Saudi ","3597","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","238","ذكر","Male","1441"
"40-49","40-49","غير سعودي","Non Saudi","5342","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","34325","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","986","ذكر","Male","1439"
"20-29","20-29","غير سعودي","Non Saudi","222","أنثى","Female","1440"
"60-69","60-69","غير سعودي","Non Saudi","1142","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","1143","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","1540","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","187","ذكر","Male","1441"
"40-49","40-49","غير سعودي","Non Saudi","1034","أنثى","Female","1440"
"40-49","40-49","غير سعودي","Non Saudi","108","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","479","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","422","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","759","أنثى","Female","1441"
"40-49","40-49","غير سعودي","Non Saudi","958","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","422","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","2209","أنثى","Female","1440"
"20-29","20-29","سعودي"," Saudi ","9316","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","121","ذكر","Male","1441"
"10-19","10-19","غير سعودي","Non Saudi","1811","ذكر","Male","1441"
"40-49","40-49","سعودي"," Saudi ","3936","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","2346","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","611","أنثى","Female","1440"
"60-69","60-69","سعودي"," Saudi ","1107","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","4224","أنثى","Female","1441"
"0-9","0-9","غير سعودي","Non Saudi","1690","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","1696","أنثى","Female","1441"
"10-19","10-19","غير سعودي","Non Saudi","425","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","316","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","424","ذكر","Male","1439"
"0-9","0-9","غير سعودي","Non Saudi","632","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","441","ذكر","Male","1439"
"60-69","60-69","غير سعودي","Non Saudi","47","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","439","أنثى","Female","1439"
"70+","70+","سعودي"," Saudi ","407","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","14548","أنثى","Female","1440"
"50-59","50-59","غير سعودي","Non Saudi","5660","أنثى","Female","1440"
"40-49","40-49","غير سعودي","Non Saudi","605","ذكر","Male","1441"
"0-9","0-9","غير سعودي","Non Saudi","73668","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","592","ذكر","Male","1440"
"30-39","30-39","سعودي"," Saudi ","4923","أنثى","Female","1440"
"30-39","30-39","غير سعودي","Non Saudi","7634","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","7913","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","5347","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","1542","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","5475","أنثى","Female","1441"
"60-69","60-69","سعودي"," Saudi ","4558","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","887","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","1636","ذكر","Male","1440"
"0-9","0-9","سعودي"," Saudi ","720","أنثى","Female","1439"
"40-49","40-49","سعودي"," Saudi ","644","أنثى","Female","1440"
"0-9","0-9","سعودي"," Saudi ","3417","ذكر","Male","1439"
"0-9","0-9","غير سعودي","Non Saudi","1916","أنثى","Female","1441"
"70+","70+","سعودي"," Saudi ","227","أنثى","Female","1439"
"70+","70+","غير سعودي","Non Saudi","1427","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","11860","أنثى","Female","1439"
"50-59","50-59","سعودي"," Saudi ","4582","أنثى","Female","1440"
"20-29","20-29","غير سعودي","Non Saudi","1300","ذكر","Male","1439"
"10-19","10-19","غير سعودي","Non Saudi","55509","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","7660","ذكر","Male","1441"
"20-29","20-29","سعودي"," Saudi ","3663","أنثى","Female","1440"
"50-59","50-59","سعودي"," Saudi ","5124","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","6268","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","1510","أنثى","Female","1441"
"30-39","30-39","سعودي"," Saudi ","26115","ذكر","Male","1439"
"60-69","60-69","سعودي"," Saudi ","109","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","1037","ذكر","Male","1439"
"10-19","10-19","سعودي"," Saudi ","4892","ذكر","Male","1441"
"20-29","20-29","سعودي"," Saudi ","6470","أنثى","Female","1441"
"70+","70+","غير سعودي","Non Saudi","756","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","1516","ذكر","Male","1441"
"70+","70+","سعودي"," Saudi ","853","ذكر","Male","1441"
"10-19","10-19","غير سعودي","Non Saudi","2399","ذكر","Male","1439"
"0-9","0-9","غير سعودي","Non Saudi","22201","أنثى","Female","1439"
"70+","70+","سعودي"," Saudi ","745","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","1240","أنثى","Female","1439"
"30-39","30-39","غير سعودي","Non Saudi","689","أنثى","Female","1439"
"60-69","60-69","غير سعودي","Non Saudi","428","ذكر","Male","1439"
"30-39","30-39","غير سعودي","Non Saudi","9832","ذكر","Male","1439"
"50-59","50-59","غير سعودي","Non Saudi","3898","ذكر","Male","1440"
"40-49","40-49","غير سعودي","Non Saudi","6424","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","4152","أنثى","Female","1440"
"10-19","10-19","سعودي"," Saudi ","1586","ذكر","Male","1439"
"0-9","0-9","غير سعودي","Non Saudi","17614","أنثى","Female","1440"
"50-59","50-59","غير سعودي","Non Saudi","8365","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","185","أنثى","Female","1441"
"50-59","50-59","سعودي"," Saudi ","752","أنثى","Female","1441"
"0-9","0-9","غير سعودي","Non Saudi","2254","ذكر","Male","1440"
"30-39","30-39","غير سعودي","Non Saudi","644","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","3841","أنثى","Female","1440"
"70+","70+","غير سعودي","Non Saudi","4843","ذكر","Male","1440"
"50-59","50-59","غير سعودي","Non Saudi","2204","أنثى","Female","1439"
"40-49","40-49","غير سعودي","Non Saudi","2620","أنثى","Female","1439"
"30-39","30-39","غير سعودي","Non Saudi","662","أنثى","Female","1440"
"10-19","10-19","سعودي"," Saudi ","1169","أنثى","Female","1441"
"20-29","20-29","غير سعودي","Non Saudi","117","أنثى","Female","1439"
"0-9","0-9","غير سعودي","Non Saudi","310","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","400","أنثى","Female","1439"
"60-69","60-69","سعودي"," Saudi ","10128","ذكر","Male","1439"
"0-9","0-9","سعودي"," Saudi ","259","ذكر","Male","1441"
"20-29","20-29","غير سعودي","Non Saudi","4859","ذكر","Male","1440"
"20-29","20-29","غير سعودي","Non Saudi","24462","ذكر","Male","1441"
"30-39","30-39","غير سعودي","Non Saudi","408","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","13650","ذكر","Male","1439"
"20-29","20-29","سعودي"," Saudi ","5895","أنثى","Female","1441"
"10-19","10-19","سعودي"," Saudi ","3174","ذكر","Male","1439"
"50-59","50-59","سعودي"," Saudi ","407","ذكر","Male","1441"
"40-49","40-49","سعودي"," Saudi ","10014","ذكر","Male","1440"
"50-59","50-59","سعودي"," Saudi ","246","ذكر","Male","1441"
"50-59","50-59","غير سعودي","Non Saudi","1613","ذكر","Male","1439"
"70+","70+","سعودي"," Saudi ","1607","أنثى","Female","1440"
"70+","70+","سعودي"," Saudi ","3892","أنثى","Female","1440"
"0-9","0-9","غير سعودي","Non Saudi","128","أنثى","Female","1439"
"0-9","0-9","سعودي"," Saudi ","2371","ذكر","Male","1441"
"60-69","60-69","سعودي"," Saudi ","13512","ذكر","Male","1440"
"10-19","10-19","سعودي"," Saudi ","18652","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","4718","ذكر","Male","1441"
"40-49","40-49","سعودي"," Saudi ","3215","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","2424","ذكر","Male","1440"
"60-69","60-69","سعودي"," Saudi ","48213","ذكر","Male","1440"
"40-49","40-49","سعودي"," Saudi ","10976","أنثى","Female","1439"
"30-39","30-39","سعودي"," Saudi ","2445","أنثى","Female","1439"
"20-29","20-29","سعودي"," Saudi ","962","ذكر","Male","1441"
"50-59","50-59","سعودي"," Saudi ","9923","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","2198","أنثى","Female","1439"
"20-29","20-29","غير سعودي","Non Saudi","440","ذكر","Male","1441"
"30-39","30-39","سعودي"," Saudi ","7729","أنثى","Female","1440"
"0-9","0-9","غير سعودي","Non Saudi","277","ذكر","Male","1440"
